# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# yawAxis     : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 2.000000e+01
# lRef        : 1.420000e+00
# Aref        : 7.500000e-01
# CofR        : (7.200000e-01 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
138           	5.860983e-01	2.336138e-01	3.524844e-01	-3.113983e-01	-1.813363e-01	-1.300620e-01	-2.563714e-02	-5.943529e-02	1.798767e-02	-5.614374e-03	1.518048e-02	-2.079485e-02
139           	5.866580e-01	2.335124e-01	3.531456e-01	-3.129236e-01	-1.792243e-01	-1.336993e-01	-2.276254e-02	-5.981660e-02	1.795299e-02	-4.830367e-03	1.553781e-02	-2.036818e-02
140           	5.873837e-01	2.334196e-01	3.539642e-01	-3.145625e-01	-1.771671e-01	-1.373954e-01	-1.988585e-02	-6.027231e-02	1.776114e-02	-4.002959e-03	1.575966e-02	-1.976262e-02
141           	5.882205e-01	2.333297e-01	3.548909e-01	-3.163244e-01	-1.752538e-01	-1.410705e-01	-1.709166e-02	-6.078061e-02	1.746754e-02	-3.121337e-03	1.590687e-02	-1.902821e-02
142           	5.891989e-01	2.332623e-01	3.559366e-01	-3.182166e-01	-1.736234e-01	-1.445932e-01	-1.451509e-02	-6.133716e-02	1.709727e-02	-2.223705e-03	1.598542e-02	-1.820912e-02
143           	5.903467e-01	2.332359e-01	3.571108e-01	-3.204799e-01	-1.724367e-01	-1.480431e-01	-1.219680e-02	-6.193748e-02	1.672099e-02	-1.307535e-03	1.606722e-02	-1.737476e-02
144           	5.913556e-01	2.331293e-01	3.582263e-01	-3.228332e-01	-1.717499e-01	-1.510833e-01	-1.033331e-02	-6.254848e-02	1.635302e-02	-4.933091e-04	1.610637e-02	-1.659968e-02
145           	5.921118e-01	2.329071e-01	3.592048e-01	-3.251179e-01	-1.715804e-01	-1.535375e-01	-9.021435e-03	-6.314884e-02	1.603830e-02	2.780872e-04	1.617735e-02	-1.589926e-02
146           	5.925548e-01	2.325605e-01	3.599943e-01	-3.272869e-01	-1.717789e-01	-1.555080e-01	-8.135483e-03	-6.371688e-02	1.563422e-02	8.973202e-04	1.608288e-02	-1.518556e-02
147           	5.927459e-01	2.321450e-01	3.606008e-01	-3.293637e-01	-1.724083e-01	-1.569555e-01	-7.726380e-03	-6.422790e-02	1.514451e-02	1.334127e-03	1.581157e-02	-1.447745e-02
148           	5.927188e-01	2.316918e-01	3.610270e-01	-3.311126e-01	-1.732676e-01	-1.578450e-01	-7.711272e-03	-6.466757e-02	1.457751e-02	1.633885e-03	1.539446e-02	-1.376057e-02
149           	5.926348e-01	2.312483e-01	3.613865e-01	-3.325043e-01	-1.742624e-01	-1.582419e-01	-8.010245e-03	-6.506909e-02	1.401924e-02	1.848548e-03	1.494351e-02	-1.309496e-02
150           	5.925277e-01	2.308196e-01	3.617081e-01	-3.334108e-01	-1.752866e-01	-1.581242e-01	-8.581182e-03	-6.544424e-02	1.355428e-02	2.138495e-03	1.462353e-02	-1.248504e-02
151           	5.923840e-01	2.303686e-01	3.620154e-01	-3.339992e-01	-1.762872e-01	-1.577121e-01	-9.287564e-03	-6.582343e-02	1.328396e-02	2.562895e-03	1.456541e-02	-1.200251e-02
152           	5.921806e-01	2.298713e-01	3.623093e-01	-3.343305e-01	-1.772563e-01	-1.570742e-01	-1.009108e-02	-6.621902e-02	1.319036e-02	3.109327e-03	1.474503e-02	-1.163570e-02
153           	5.919720e-01	2.293508e-01	3.626212e-01	-3.346566e-01	-1.781739e-01	-1.564827e-01	-1.084561e-02	-6.663518e-02	1.321441e-02	3.659746e-03	1.504429e-02	-1.138454e-02
154           	5.916622e-01	2.287222e-01	3.629400e-01	-3.349421e-01	-1.789715e-01	-1.559706e-01	-1.150046e-02	-6.710886e-02	1.332250e-02	4.211267e-03	1.542813e-02	-1.121686e-02
155           	5.913102e-01	2.280131e-01	3.632971e-01	-3.352333e-01	-1.795513e-01	-1.556820e-01	-1.193463e-02	-6.764199e-02	1.345122e-02	4.729563e-03	1.581600e-02	-1.108644e-02
156           	5.909341e-01	2.272189e-01	3.637152e-01	-3.354380e-01	-1.798181e-01	-1.556199e-01	-1.209913e-02	-6.824816e-02	1.356348e-02	5.256306e-03	1.619163e-02	-1.093533e-02
157           	5.906449e-01	2.263897e-01	3.642552e-01	-3.357815e-01	-1.797407e-01	-1.560408e-01	-1.184999e-02	-6.893271e-02	1.364341e-02	5.806434e-03	1.654663e-02	-1.074019e-02
158           	5.904895e-01	2.255573e-01	3.649323e-01	-3.364267e-01	-1.794681e-01	-1.569586e-01	-1.125476e-02	-6.968750e-02	1.376908e-02	6.404856e-03	1.697151e-02	-1.056665e-02
159           	5.904158e-01	2.247526e-01	3.656632e-01	-3.373726e-01	-1.789957e-01	-1.583769e-01	-1.030940e-02	-7.045526e-02	1.390509e-02	6.989337e-03	1.739976e-02	-1.041042e-02
160           	5.903622e-01	2.239653e-01	3.663969e-01	-3.385650e-01	-1.783969e-01	-1.601681e-01	-9.114437e-03	-7.121577e-02	1.408496e-02	7.534253e-03	1.785209e-02	-1.031784e-02
161           	5.902929e-01	2.231849e-01	3.671081e-01	-3.399312e-01	-1.777263e-01	-1.622049e-01	-7.760682e-03	-7.196161e-02	1.424493e-02	7.983496e-03	1.823668e-02	-1.025318e-02
162           	5.901472e-01	2.223946e-01	3.677526e-01	-3.413135e-01	-1.769970e-01	-1.643165e-01	-6.340264e-03	-7.267902e-02	1.442820e-02	8.355120e-03	1.860576e-02	-1.025064e-02
163           	5.899337e-01	2.216261e-01	3.683076e-01	-3.424723e-01	-1.761702e-01	-1.663021e-01	-4.934012e-03	-7.334071e-02	1.462133e-02	8.627207e-03	1.893493e-02	-1.030772e-02
164           	5.897625e-01	2.209367e-01	3.688258e-01	-3.432434e-01	-1.751893e-01	-1.680541e-01	-3.567624e-03	-7.394458e-02	1.483703e-02	8.813278e-03	1.924367e-02	-1.043039e-02
165           	5.896876e-01	2.203591e-01	3.693284e-01	-3.436188e-01	-1.740770e-01	-1.695419e-01	-2.267558e-03	-7.448464e-02	1.503205e-02	8.848926e-03	1.945651e-02	-1.060759e-02
166           	5.897141e-01	2.199118e-01	3.698023e-01	-3.435219e-01	-1.728095e-01	-1.707124e-01	-1.048585e-03	-7.494526e-02	1.521051e-02	8.724176e-03	1.957260e-02	-1.084842e-02
167           	5.897932e-01	2.195893e-01	3.702039e-01	-3.431213e-01	-1.714684e-01	-1.716529e-01	9.224031e-05	-7.530727e-02	1.532478e-02	8.363135e-03	1.950635e-02	-1.114321e-02
168           	5.899195e-01	2.193820e-01	3.705375e-01	-3.425806e-01	-1.701798e-01	-1.724007e-01	1.110450e-03	-7.557779e-02	1.538567e-02	7.824565e-03	1.929795e-02	-1.147339e-02
169           	5.901214e-01	2.192989e-01	3.708226e-01	-3.419516e-01	-1.690774e-01	-1.728742e-01	1.898417e-03	-7.576185e-02	1.543513e-02	7.201515e-03	1.903589e-02	-1.183437e-02
170           	5.903549e-01	2.193229e-01	3.710320e-01	-3.413486e-01	-1.683421e-01	-1.730065e-01	2.332230e-03	-7.585457e-02	1.551607e-02	6.518922e-03	1.877554e-02	-1.225661e-02
171           	5.904733e-01	2.193881e-01	3.710853e-01	-3.410237e-01	-1.679884e-01	-1.730353e-01	2.523447e-03	-7.584859e-02	1.562225e-02	5.786070e-03	1.851529e-02	-1.272922e-02
172           	5.904483e-01	2.194329e-01	3.710154e-01	-3.410995e-01	-1.680289e-01	-1.730707e-01	2.520899e-03	-7.579123e-02	1.579443e-02	5.101364e-03	1.834511e-02	-1.324374e-02
173           	5.902852e-01	2.194487e-01	3.708365e-01	-3.417569e-01	-1.684808e-01	-1.732761e-01	2.397630e-03	-7.569387e-02	1.604356e-02	4.450200e-03	1.826866e-02	-1.381846e-02
174           	5.900411e-01	2.194433e-01	3.705979e-01	-3.428295e-01	-1.693133e-01	-1.735162e-01	2.101438e-03	-7.557731e-02	1.635988e-02	3.828373e-03	1.827407e-02	-1.444569e-02
175           	5.898100e-01	2.194423e-01	3.703677e-01	-3.441346e-01	-1.702420e-01	-1.738926e-01	1.825265e-03	-7.546271e-02	1.666839e-02	3.223604e-03	1.828019e-02	-1.505658e-02
176           	5.896330e-01	2.194371e-01	3.701959e-01	-3.452401e-01	-1.711250e-01	-1.741151e-01	1.495049e-03	-7.537940e-02	1.692787e-02	2.571288e-03	1.821351e-02	-1.564223e-02
177           	5.895340e-01	2.194347e-01	3.700993e-01	-3.458442e-01	-1.718185e-01	-1.740257e-01	1.103630e-03	-7.533227e-02	1.717217e-02	1.857424e-03	1.810088e-02	-1.624346e-02
178           	5.896171e-01	2.194976e-01	3.701195e-01	-3.456618e-01	-1.721270e-01	-1.735348e-01	7.038998e-04	-7.531097e-02	1.732930e-02	1.079785e-03	1.786919e-02	-1.678941e-02
179           	5.897912e-01	2.195893e-01	3.702019e-01	-3.444962e-01	-1.719180e-01	-1.725782e-01	3.300699e-04	-7.530626e-02	1.746906e-02	2.802358e-04	1.760918e-02	-1.732894e-02
180           	5.899761e-01	2.196705e-01	3.703056e-01	-3.422975e-01	-1.712673e-01	-1.710301e-01	-1.185848e-04	-7.531754e-02	1.759091e-02	-5.473374e-04	1.731725e-02	-1.786458e-02
181           	5.899887e-01	2.196933e-01	3.702954e-01	-3.397172e-01	-1.702408e-01	-1.694764e-01	-3.821830e-04	-7.530102e-02	1.773116e-02	-1.378897e-03	1.704171e-02	-1.842061e-02
182           	5.898914e-01	2.197174e-01	3.701740e-01	-3.375388e-01	-1.691780e-01	-1.683608e-01	-4.085835e-04	-7.522829e-02	1.782457e-02	-2.313614e-03	1.666777e-02	-1.898138e-02
183           	5.897343e-01	2.197386e-01	3.699957e-01	-3.350038e-01	-1.679153e-01	-1.670885e-01	-4.134333e-04	-7.512855e-02	1.787116e-02	-3.237205e-03	1.625256e-02	-1.948976e-02
184           	5.894934e-01	2.197312e-01	3.697621e-01	-3.326038e-01	-1.667344e-01	-1.658693e-01	-4.325418e-04	-7.501544e-02	1.789974e-02	-3.959851e-03	1.591981e-02	-1.987966e-02
185           	5.890666e-01	2.197085e-01	3.693581e-01	-3.309290e-01	-1.658375e-01	-1.650915e-01	-3.730294e-04	-7.482477e-02	1.793902e-02	-4.471819e-03	1.570311e-02	-2.017493e-02
186           	5.884231e-01	2.196657e-01	3.687574e-01	-3.304166e-01	-1.657324e-01	-1.646842e-01	-5.241049e-04	-7.454590e-02	1.798900e-02	-4.720983e-03	1.562851e-02	-2.034950e-02
187           	5.876570e-01	2.196501e-01	3.680069e-01	-3.311818e-01	-1.665524e-01	-1.646294e-01	-9.614639e-04	-7.417842e-02	1.804359e-02	-4.705339e-03	1.569092e-02	-2.039626e-02
188           	5.869080e-01	2.196868e-01	3.672211e-01	-3.330383e-01	-1.683571e-01	-1.646812e-01	-1.837925e-03	-7.376717e-02	1.809842e-02	-4.410885e-03	1.589298e-02	-2.030387e-02
189           	5.861523e-01	2.197619e-01	3.663903e-01	-3.362340e-01	-1.711851e-01	-1.650489e-01	-3.068081e-03	-7.331419e-02	1.814459e-02	-3.849240e-03	1.621997e-02	-2.006921e-02
190           	5.854929e-01	2.198726e-01	3.656203e-01	-3.403266e-01	-1.745893e-01	-1.657373e-01	-4.425994e-03	-7.287386e-02	1.827961e-02	-2.971975e-03	1.679362e-02	-1.976560e-02
191           	5.848307e-01	2.199578e-01	3.648729e-01	-3.447379e-01	-1.781092e-01	-1.666287e-01	-5.740264e-03	-7.245757e-02	1.849878e-02	-1.994117e-03	1.750173e-02	-1.949584e-02
192           	5.843542e-01	2.200298e-01	3.643244e-01	-3.485079e-01	-1.812372e-01	-1.672707e-01	-6.983238e-03	-7.214731e-02	1.880128e-02	-9.344858e-04	1.833403e-02	-1.926852e-02
193           	5.841498e-01	2.201271e-01	3.640227e-01	-3.513353e-01	-1.835848e-01	-1.677504e-01	-7.917203e-03	-7.194781e-02	1.918295e-02	2.173754e-04	1.929164e-02	-1.907426e-02
194           	5.842157e-01	2.202125e-01	3.640032e-01	-3.531709e-01	-1.848478e-01	-1.683231e-01	-8.262358e-03	-7.189535e-02	1.953358e-02	1.491185e-03	2.027918e-02	-1.878799e-02
195           	5.845355e-01	2.203160e-01	3.642195e-01	-3.541298e-01	-1.850139e-01	-1.691159e-01	-7.949017e-03	-7.195175e-02	1.979917e-02	2.749782e-03	2.117406e-02	-1.842428e-02
196           	5.850547e-01	2.204548e-01	3.645999e-01	-3.545017e-01	-1.842776e-01	-1.702241e-01	-7.026716e-03	-7.207255e-02	1.986474e-02	3.855973e-03	2.179272e-02	-1.793675e-02
197           	5.855562e-01	2.205733e-01	3.649829e-01	-3.546300e-01	-1.828265e-01	-1.718035e-01	-5.511517e-03	-7.220477e-02	1.966562e-02	4.583519e-03	2.195738e-02	-1.737386e-02
198           	5.860654e-01	2.207432e-01	3.653222e-01	-3.549276e-01	-1.809233e-01	-1.740043e-01	-3.459517e-03	-7.228947e-02	1.920405e-02	4.915879e-03	2.166199e-02	-1.674611e-02
199           	5.865147e-01	2.209341e-01	3.655807e-01	-3.556781e-01	-1.786824e-01	-1.769957e-01	-8.433595e-04	-7.232329e-02	1.854918e-02	4.850764e-03	2.097456e-02	-1.612380e-02
200           	5.870598e-01	2.212167e-01	3.658431e-01	-3.570795e-01	-1.762728e-01	-1.808067e-01	2.266970e-03	-7.231323e-02	1.777900e-02	4.389431e-03	1.997372e-02	-1.558429e-02
201           	5.877868e-01	2.215777e-01	3.662092e-01	-3.589281e-01	-1.736367e-01	-1.852913e-01	5.827292e-03	-7.231575e-02	1.706283e-02	3.817228e-03	1.897144e-02	-1.515422e-02
202           	5.886808e-01	2.219651e-01	3.667157e-01	-3.608501e-01	-1.707635e-01	-1.900866e-01	9.661524e-03	-7.237534e-02	1.635178e-02	3.194136e-03	1.794884e-02	-1.475471e-02
203           	5.897432e-01	2.223640e-01	3.673792e-01	-3.627022e-01	-1.677522e-01	-1.949500e-01	1.359888e-02	-7.250761e-02	1.569738e-02	2.570911e-03	1.698283e-02	-1.441192e-02
204           	5.909681e-01	2.227642e-01	3.682039e-01	-3.642784e-01	-1.646846e-01	-1.995937e-01	1.745454e-02	-7.271986e-02	1.507577e-02	1.966208e-03	1.605888e-02	-1.409267e-02
205           	5.922537e-01	2.231429e-01	3.691107e-01	-3.652842e-01	-1.616649e-01	-2.036193e-01	2.097717e-02	-7.298389e-02	1.447299e-02	1.337505e-03	1.514174e-02	-1.380424e-02
206           	5.934234e-01	2.234334e-01	3.699900e-01	-3.655985e-01	-1.588053e-01	-2.067932e-01	2.399392e-02	-7.327828e-02	1.394262e-02	6.644005e-04	1.427482e-02	-1.361042e-02
207           	5.943992e-01	2.235939e-01	3.708053e-01	-3.651337e-01	-1.561578e-01	-2.089759e-01	2.640906e-02	-7.360570e-02	1.362067e-02	1.543423e-04	1.369784e-02	-1.354350e-02
208           	5.951255e-01	2.236352e-01	3.714902e-01	-3.638882e-01	-1.536881e-01	-2.102001e-01	2.825602e-02	-7.392751e-02	1.350348e-02	-2.332423e-04	1.338686e-02	-1.362010e-02
209           	5.956429e-01	2.236025e-01	3.720404e-01	-3.619846e-01	-1.513857e-01	-2.105989e-01	2.960661e-02	-7.421895e-02	1.355447e-02	-4.973798e-04	1.330578e-02	-1.380316e-02
210           	5.960056e-01	2.235462e-01	3.724594e-01	-3.596293e-01	-1.492332e-01	-2.103961e-01	3.058147e-02	-7.445663e-02	1.365333e-02	-7.559649e-04	1.327534e-02	-1.403131e-02
211           	5.963469e-01	2.235379e-01	3.728090e-01	-3.571424e-01	-1.472778e-01	-2.098646e-01	3.129344e-02	-7.463558e-02	1.380724e-02	-9.455425e-04	1.333447e-02	-1.428001e-02
212           	5.967079e-01	2.236383e-01	3.730696e-01	-3.547176e-01	-1.454500e-01	-2.092676e-01	3.190881e-02	-7.471564e-02	1.388598e-02	-1.204104e-03	1.328393e-02	-1.448803e-02
213           	5.971042e-01	2.238573e-01	3.732468e-01	-3.523808e-01	-1.437157e-01	-2.086651e-01	3.247468e-02	-7.469475e-02	1.394028e-02	-1.475819e-03	1.320238e-02	-1.467819e-02
214           	5.974317e-01	2.241269e-01	3.733048e-01	-3.501843e-01	-1.420850e-01	-2.080993e-01	3.300717e-02	-7.458892e-02	1.396118e-02	-1.742916e-03	1.308972e-02	-1.483264e-02
215           	5.975895e-01	2.243770e-01	3.732125e-01	-3.481646e-01	-1.405832e-01	-2.075814e-01	3.349914e-02	-7.441774e-02	1.404807e-02	-1.842324e-03	1.312691e-02	-1.496923e-02
216           	5.975634e-01	2.246234e-01	3.729400e-01	-3.460253e-01	-1.391782e-01	-2.068472e-01	3.383450e-02	-7.415832e-02	1.417410e-02	-1.796554e-03	1.327583e-02	-1.507238e-02
217           	5.974300e-01	2.248995e-01	3.725305e-01	-3.436983e-01	-1.378618e-01	-2.058365e-01	3.398737e-02	-7.381551e-02	1.432697e-02	-1.617522e-03	1.351821e-02	-1.513573e-02
218           	5.972287e-01	2.252263e-01	3.720023e-01	-3.410794e-01	-1.366134e-01	-2.044659e-01	3.392626e-02	-7.338800e-02	1.446360e-02	-1.428675e-03	1.374926e-02	-1.517794e-02
219           	5.970007e-01	2.256488e-01	3.713519e-01	-3.380776e-01	-1.353696e-01	-2.027081e-01	3.366924e-02	-7.285157e-02	1.449311e-02	-1.363838e-03	1.381119e-02	-1.517503e-02
220           	5.967432e-01	2.261593e-01	3.705839e-01	-3.346780e-01	-1.341315e-01	-2.005464e-01	3.320744e-02	-7.221227e-02	1.437319e-02	-1.521170e-03	1.361260e-02	-1.513377e-02
221           	5.964388e-01	2.267083e-01	3.697305e-01	-3.308752e-01	-1.328730e-01	-1.980021e-01	3.256454e-02	-7.151110e-02	1.408898e-02	-1.917051e-03	1.313045e-02	-1.504750e-02
222           	5.958776e-01	2.271520e-01	3.687256e-01	-3.267818e-01	-1.315031e-01	-1.952787e-01	3.188783e-02	-7.078680e-02	1.362868e-02	-2.534047e-03	1.236166e-02	-1.489571e-02
223           	5.949813e-01	2.273819e-01	3.675994e-01	-3.228842e-01	-1.299990e-01	-1.928852e-01	3.144308e-02	-7.010874e-02	1.309972e-02	-3.178513e-03	1.151046e-02	-1.468897e-02
224           	5.940260e-01	2.274894e-01	3.665366e-01	-3.199440e-01	-1.284693e-01	-1.914747e-01	3.150273e-02	-6.952363e-02	1.259091e-02	-3.761980e-03	1.070992e-02	-1.447190e-02
225           	5.930974e-01	2.274995e-01	3.655979e-01	-3.180564e-01	-1.270818e-01	-1.909746e-01	3.194645e-02	-6.904923e-02	1.218769e-02	-4.117695e-03	1.012884e-02	-1.424654e-02
226           	5.921601e-01	2.273690e-01	3.647911e-01	-3.171165e-01	-1.260333e-01	-1.910832e-01	3.252494e-02	-6.871104e-02	1.195977e-02	-4.085049e-03	9.917247e-03	-1.400230e-02
227           	5.912824e-01	2.271501e-01	3.641323e-01	-3.174138e-01	-1.255086e-01	-1.919052e-01	3.319830e-02	-6.849108e-02	1.192326e-02	-3.601427e-03	1.012254e-02	-1.372397e-02
228           	5.904603e-01	2.268567e-01	3.636036e-01	-3.191417e-01	-1.256466e-01	-1.934951e-01	3.392424e-02	-6.837344e-02	1.201784e-02	-2.797856e-03	1.061891e-02	-1.341677e-02
229           	5.897242e-01	2.265138e-01	3.632105e-01	-3.221553e-01	-1.264861e-01	-1.956692e-01	3.459158e-02	-6.834836e-02	1.224878e-02	-1.713563e-03	1.139200e-02	-1.310557e-02
230           	5.891042e-01	2.261720e-01	3.629321e-01	-3.261085e-01	-1.277861e-01	-1.983224e-01	3.526815e-02	-6.838004e-02	1.247559e-02	-6.233824e-04	1.216390e-02	-1.278728e-02
231           	5.886344e-01	2.258368e-01	3.627977e-01	-3.305081e-01	-1.293070e-01	-2.012010e-01	3.594700e-02	-6.848044e-02	1.266319e-02	3.757153e-04	1.285104e-02	-1.247533e-02
232           	5.883141e-01	2.255269e-01	3.627872e-01	-3.350814e-01	-1.308663e-01	-2.042151e-01	3.667438e-02	-6.863013e-02	1.269961e-02	1.093793e-03	1.324651e-02	-1.215272e-02
233           	5.881410e-01	2.252429e-01	3.628981e-01	-3.396009e-01	-1.323559e-01	-2.072450e-01	3.744455e-02	-6.882757e-02	1.261816e-02	1.532011e-03	1.338416e-02	-1.185215e-02
234           	5.881347e-01	2.250103e-01	3.631244e-01	-3.440956e-01	-1.338238e-01	-2.102717e-01	3.822395e-02	-6.905706e-02	1.235912e-02	1.630398e-03	1.317432e-02	-1.154392e-02
235           	5.882330e-01	2.248145e-01	3.634185e-01	-3.484110e-01	-1.351882e-01	-2.132227e-01	3.901724e-02	-6.930201e-02	1.197887e-02	1.467240e-03	1.271249e-02	-1.124525e-02
236           	5.884144e-01	2.246717e-01	3.637427e-01	-3.525718e-01	-1.365233e-01	-2.160485e-01	3.976263e-02	-6.953550e-02	1.147000e-02	9.497713e-04	1.194488e-02	-1.099511e-02
237           	5.886860e-01	2.245808e-01	3.641052e-01	-3.565506e-01	-1.378164e-01	-2.187342e-01	4.045892e-02	-6.976222e-02	1.091234e-02	2.467971e-04	1.103573e-02	-1.078894e-02
238           	5.890415e-01	2.245518e-01	3.644897e-01	-3.602927e-01	-1.390485e-01	-2.212442e-01	4.109788e-02	-6.996897e-02	1.025384e-02	-7.708121e-04	9.868438e-03	-1.063925e-02
239           	5.894154e-01	2.245487e-01	3.648667e-01	-3.634605e-01	-1.400851e-01	-2.233754e-01	4.164510e-02	-7.015898e-02	9.623554e-03	-1.888909e-03	8.679100e-03	-1.056801e-02
240           	5.898217e-01	2.245838e-01	3.652379e-01	-3.661445e-01	-1.410287e-01	-2.251158e-01	4.204355e-02	-7.032702e-02	8.941690e-03	-3.288478e-03	7.297451e-03	-1.058593e-02
241           	5.902323e-01	2.246068e-01	3.656256e-01	-3.683033e-01	-1.419366e-01	-2.263666e-01	4.221500e-02	-7.050940e-02	8.365894e-03	-4.672411e-03	6.029688e-03	-1.070210e-02
242           	5.906999e-01	2.246417e-01	3.660581e-01	-3.701145e-01	-1.429613e-01	-2.271532e-01	4.209596e-02	-7.070821e-02	7.892576e-03	-6.018620e-03	4.883266e-03	-1.090189e-02
243           	5.911093e-01	2.246223e-01	3.664870e-01	-3.715516e-01	-1.441670e-01	-2.273847e-01	4.160886e-02	-7.093234e-02	7.669618e-03	-7.096525e-03	4.121355e-03	-1.121788e-02
244           	5.914011e-01	2.245500e-01	3.668511e-01	-3.728102e-01	-1.456932e-01	-2.271170e-01	4.071188e-02	-7.115051e-02	7.539583e-03	-8.125371e-03	3.476898e-03	-1.160227e-02
245           	5.915357e-01	2.244136e-01	3.671221e-01	-3.737384e-01	-1.475887e-01	-2.261497e-01	3.928049e-02	-7.135425e-02	7.497482e-03	-9.127448e-03	2.933758e-03	-1.206121e-02
246           	5.915262e-01	2.242168e-01	3.673094e-01	-3.743624e-01	-1.497706e-01	-2.245918e-01	3.741062e-02	-7.154630e-02	7.494148e-03	-1.014771e-02	2.420294e-03	-1.256800e-02
247           	5.914004e-01	2.239997e-01	3.674007e-01	-3.744683e-01	-1.521691e-01	-2.222992e-01	3.506505e-02	-7.170052e-02	7.519658e-03	-1.106049e-02	1.989413e-03	-1.304990e-02
248           	5.912012e-01	2.237976e-01	3.674037e-01	-3.739809e-01	-1.547038e-01	-2.192771e-01	3.228663e-02	-7.180305e-02	7.531245e-03	-1.196768e-02	1.547403e-03	-1.351509e-02
249           	5.909385e-01	2.236116e-01	3.673269e-01	-3.729557e-01	-1.573468e-01	-2.156089e-01	2.913104e-02	-7.185764e-02	7.595382e-03	-1.270227e-02	1.244247e-03	-1.394652e-02
250           	5.906006e-01	2.234263e-01	3.671744e-01	-3.716294e-01	-1.599200e-01	-2.117094e-01	2.589472e-02	-7.187404e-02	7.664353e-03	-1.334157e-02	9.935670e-04	-1.433514e-02
251           	5.902559e-01	2.232505e-01	3.670054e-01	-3.700625e-01	-1.623437e-01	-2.077188e-01	2.268752e-02	-7.187747e-02	7.763156e-03	-1.384013e-02	8.430920e-04	-1.468322e-02
252           	5.900034e-01	2.231120e-01	3.668913e-01	-3.684982e-01	-1.645998e-01	-2.038984e-01	1.964935e-02	-7.188964e-02	7.879299e-03	-1.429726e-02	7.306695e-04	-1.502793e-02
253           	5.899161e-01	2.230242e-01	3.668919e-01	-3.669946e-01	-1.666023e-01	-2.003923e-01	1.689496e-02	-7.193389e-02	8.011421e-03	-1.474935e-02	6.367444e-04	-1.538610e-02
254           	5.901505e-01	2.230202e-01	3.671303e-01	-3.657082e-01	-1.682923e-01	-1.974159e-01	1.456181e-02	-7.205508e-02	8.178236e-03	-1.511935e-02	6.185620e-04	-1.573791e-02
255           	5.907186e-01	2.230619e-01	3.676567e-01	-3.647980e-01	-1.696740e-01	-1.951239e-01	1.272496e-02	-7.229742e-02	8.439607e-03	-1.526735e-02	8.059337e-04	-1.607328e-02
256           	5.914917e-01	2.230520e-01	3.684397e-01	-3.643657e-01	-1.708082e-01	-1.935575e-01	1.137466e-02	-7.269382e-02	8.819982e-03	-1.507039e-02	1.284787e-03	-1.635518e-02
257           	5.922996e-01	2.229051e-01	3.693946e-01	-3.643179e-01	-1.717534e-01	-1.925645e-01	1.040553e-02	-7.324475e-02	9.371519e-03	-1.446893e-02	2.137052e-03	-1.660599e-02
258           	5.930761e-01	2.226140e-01	3.704621e-01	-3.645603e-01	-1.725932e-01	-1.919671e-01	9.686920e-03	-7.392407e-02	1.004863e-02	-1.354884e-02	3.274215e-03	-1.682305e-02
259           	5.938055e-01	2.221909e-01	3.716146e-01	-3.649133e-01	-1.732786e-01	-1.916347e-01	9.178077e-03	-7.471183e-02	1.083489e-02	-1.228891e-02	4.690433e-03	-1.697934e-02
260           	5.944380e-01	2.216516e-01	3.727864e-01	-3.655952e-01	-1.738417e-01	-1.917535e-01	8.955928e-03	-7.556744e-02	1.167780e-02	-1.078587e-02	6.284861e-03	-1.707073e-02
261           	5.950156e-01	2.210455e-01	3.739701e-01	-3.665165e-01	-1.742005e-01	-1.923160e-01	9.057763e-03	-7.646232e-02	1.254590e-02	-9.017063e-03	8.037365e-03	-1.705443e-02
262           	5.955052e-01	2.204026e-01	3.751026e-01	-3.679296e-01	-1.743742e-01	-1.935553e-01	9.590559e-03	-7.735003e-02	1.330612e-02	-7.202951e-03	9.704648e-03	-1.690760e-02
263           	5.959481e-01	2.197499e-01	3.761982e-01	-3.697646e-01	-1.742686e-01	-1.954960e-01	1.061372e-02	-7.822417e-02	1.383214e-02	-5.521506e-03	1.107139e-02	-1.659289e-02
264           	5.962951e-01	2.191098e-01	3.771853e-01	-3.720195e-01	-1.738959e-01	-1.981236e-01	1.211387e-02	-7.903777e-02	1.400050e-02	-4.165279e-03	1.191787e-02	-1.608314e-02
265           	5.965300e-01	2.184896e-01	3.780404e-01	-3.742928e-01	-1.732868e-01	-2.010061e-01	1.385967e-02	-7.977538e-02	1.380551e-02	-3.216779e-03	1.219712e-02	-1.541390e-02
266           	5.966181e-01	2.178673e-01	3.787508e-01	-3.765157e-01	-1.724779e-01	-2.040378e-01	1.577996e-02	-8.044174e-02	1.330424e-02	-2.553176e-03	1.202765e-02	-1.458083e-02
